label,x_pos_mean,x_pos_stdev,y_pos_mean,y_pos_std_dev,mouse_event_counts,left_mouse_held_time,middle_mouse_held_time,right_mouse_held_time,left_mouseup_counts,middle_mouseup_counts,right_mouseup_counts,total_key_up_counts,keyup_keys_in_q1,total_key_time_held,key_held_keys_in_q1,alnum_keys_in_q1,movement_key_ratio
active,0.3147647560361198,0.14980990817618703,0.5436193050641952,0.1401253532477636,1281,0.08680163621902466,0.0,0.0,14,0,0,35,1,5.465733528137207,1,1,0.7152388751449165
active,0.4249416408282547,0.14316453882659996,0.6635571474393243,0.2026677464766394,398,0.0072827974955240885,0.0,0.0,3,0,0,19,1,1.4579031467437744,1,1,0.24475503834688644
active,0.31919988587266646,0.018238997227998648,0.5739483981413547,0.0368545474785384,87,0.0,0.0,0.0,0,0,0,229,4,20.16175150871277,3,3,0.40478478105265786
active,0.4624644672237057,0.16248965709857768,0.575927082436041,0.1629074382806298,494,0.02424448331197103,0.0,0.0,9,0,0,62,2,3.6975879669189453,2,2,0.40990855526629955
active,0.37677304964539005,0.0,0.7646276595744681,0.0,10,0.0,0.0,0.0,0,0,0,71,3,5.643250226974487,2,3,0.6023298103457286
active,0.1827739197530864,0.05786112644792511,0.4503600823045268,0.06214441004528382,540,0.01785460313161214,0.0,0.0,14,0,0,222,4,41.07082414627075,1,3,0.41930665132029815
active,0.3928499566617138,0.198344158585301,0.3827527378790381,0.22057110622766973,2692,0.036015772819519044,0.0,0.003465445836385091,26,0,2,23,2,2.567920446395874,2,1,0.44413887367068666
active,0.7177926503653739,0.10687547454481072,0.4779526575479358,0.06527477220110155,1186,0.012380564212799072,0.0,0.0,9,0,0,110,3,44.07174062728882,1,2,3.3018834052415085
active,0.8137141839183919,0.20213267066286936,0.7223222322232223,0.08990922497855211,1111,0.020383040110270183,0.0,0.001328714688618978,15,0,1,106,3,179.4736931324005,1,2,0.02491902419605313
active,0.29902596497099504,0.19905968142440747,0.5716384054737469,0.17252240912835956,1494,0.021319893995920818,0.0,0.0015955169995625813,17,0,1,128,3,42.456708669662476,1,2,0.14105366051514748
active,0.18700396825396826,0.02501643057326241,0.7610229276895943,0.06429533027710119,315,0.011309576034545899,0.0,0.0,9,0,0,275,3,72.00622320175171,1,3,0.13286006846073595
active,0.24390832561013281,0.09005198269334103,0.6717468163251296,0.144170725368666,1079,0.00539156993230184,0.0,0.0037337342898050943,4,0,2,176,3,67.17881751060486,1,3,0.07730681370590345
active,0.6462012081784386,0.1654886899718263,0.5241176740557162,0.21442183349193375,1614,0.03928373257319132,0.0,0.0,8,0,0,160,3,74.64984965324402,1,3,0.19562713685437472
active,0.23648363697705801,0.1210668002848246,0.4982006297795772,0.17026679367072867,247,0.0005005995432535807,0.0,0.0,1,0,0,172,3,37.39041876792908,1,2,0.18654328209491777
active,0.5741842638988308,0.262054443850557,0.6495400196187597,0.1107239249392802,1397,0.004467697938283285,0.0,0.0,3,0,0,161,4,22.275238513946533,1,2,1.4778899880236402
active,0.437889757389373,0.22265096190143047,0.5758205668508077,0.1857721050411028,1951,0.04338469505310059,0.0,0.0,8,0,0,130,3,139.12265014648438,1,3,0.05316810356045632
active,0.5691234827264239,0.270304330259223,0.4195196597157382,0.1957548182489587,357,0.0034514506657918292,0.0,0.0,3,0,0,135,4,684.5387115478516,1,1,0.007159639344872453
active,0.5070960426634769,0.17337454627958956,0.2421141236930711,0.17160332833786326,836,0.02045133908589681,0.0,0.0,8,0,0,146,4,27.695680379867554,2,2,0.26824361483565967
active,0.3841711956521739,0.04312967070927746,0.41243961352657,0.08693904704536835,230,0.006656547387440999,0.0,0.0,5,0,0,0.0,0,0.0,0,0,0
active,0.26697708653353813,0.1749064175018149,0.3164646981851283,0.2072532355649082,1302,0.010309235254923502,0.0014603177706400553,0.0,8,1,0,81,3,230.45182514190674,1,1,0.020518833295090383
